"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
" 1.610756e-03",0.394668170090347,0.53,0.545," 1.000000e+00","13","Rnpc3"
" 1.706233e-03",0.498592709362443,0.394,0.35," 1.000000e+00","13","Brinp2"
" 1.842896e-03",0.544154054400446,0.27,0.214," 1.000000e+00","13","Tmod1"
" 1.858017e-03",0.623304033649992,0.256,0.207," 1.000000e+00","13","Pcdhgc5"
" 1.859412e-03",0.536875945992411,0.382,0.353," 1.000000e+00","13","Celf3"
" 1.894655e-03",0.489855831818536,0.279,0.225," 1.000000e+00","13","Cdh18"
" 2.102688e-03",0.627449168964972,0.265,0.213," 1.000000e+00","13","Lrba"
" 2.636328e-03",0.354168623873145,0.546,0.521," 1.000000e+00","13","Psd3"
" 2.769495e-03",0.546095331399966,0.359,0.308," 1.000000e+00","13","Gm40841"
" 3.015139e-03",0.473014474498336,0.394,0.352," 1.000000e+00","13","Slc38a1"
" 3.043937e-03",0.637555708748734,0.429,0.418," 1.000000e+00","13","Smap1"
" 3.207749e-03",0.51459037175648,0.27,0.219," 1.000000e+00","13","Mfap3l"
" 3.887445e-03",0.492793736305059,0.396,0.365," 1.000000e+00","13","Tmem131"
" 4.083034e-03",0.560275041855377,0.286,0.238," 1.000000e+00","13","Wwp1"
" 4.292618e-03",0.367390886794076,0.574,0.594," 1.000000e+00","13","Hnrnph3"
" 4.310818e-03",0.431710099681884,0.371,0.327," 1.000000e+00","13","Ncor2"
" 4.553446e-03",0.267090677115081,0.615,0.619," 1.000000e+00","13","Syn2"
" 4.995974e-03",0.396989909197776,0.461,0.441," 1.000000e+00","13","Stox2"
" 5.194508e-03",0.520946879975004,0.364,0.338," 1.000000e+00","13","Srrm3"
" 5.566344e-03",0.334992562682264,0.618,0.627," 1.000000e+00","13","Ccdc88a"
" 5.731055e-03",0.288004519227842,0.613,0.641," 1.000000e+00","13","Psip1"
" 5.782079e-03",0.420271120539864,0.265,0.214," 1.000000e+00","13","Fhl1"
" 6.185236e-03",0.476700338266776,0.387,0.358," 1.000000e+00","13","Xpr1"
" 7.194969e-03",0.384542899141155,0.293,0.245," 1.000000e+00","13","Vstm2a"
" 7.530491e-03",0.329452951692443,0.491,0.478," 1.000000e+00","13","Ppia"
" 7.598108e-03",0.305141106378875,0.5,0.476," 1.000000e+00","13","Csrnp3"
" 7.761306e-03",0.360491233918582,0.431,0.404," 1.000000e+00","13","Emc10"
" 7.964851e-03",0.481743412298944,0.392,0.371," 1.000000e+00","13","C130071C03Rik"
" 8.832081e-03",0.53816679571566,0.32,0.283," 1.000000e+00","13","Nsg1"
" 9.677065e-03",0.467658782244253,0.3,0.258," 1.000000e+00","13","Tmem158"
" 0.000000e+00",7.88736286490133,0.971,0.018," 0.000000e+00","14","Pdgfra"
" 0.000000e+00",6.0271498865841,0.921,0.046," 0.000000e+00","14","Vcan"
" 0.000000e+00",3.57667555330538,0.933,0.125," 0.000000e+00","14","Bcan"
